,name,slider,flags,opposites,introduce,cancel,raise,lower,department,prereqs,mincost,maxcost,costfunction,cost multiplier,implementation,minincome,maxincome,incomefunction,incomemultiplier,nationalisation GDP percentage,,,,,,,,,,,,,,,,,,
#,Banhomosexuality,banhomosexuality,,GayMarriage,48,22,19,19,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.08+(x*0.07)","Liberal,-0.14-(x^2)*0.28","Conservatives,0.04+(x*0.04)","CrimeRate,0+(x^4)*0.06,4","Religious_freq,-0.02-(x*0.04),8","_global_liberalism,-0.16*(x^2)-0.06,6",,,,,,,,,,,
#,Banlowmpgcars,ban,,,25,15,12,12,TRANSPORT,,1,2,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"OilDemand,_inv_ElectricCarTransition*(-0.05*x)-0.025,12","CarUsage,_inv_ElectricCarTransition*(x^2)*-0.1-0.05,7","Motorist,_inv_ElectricCarTransition*(x^2)*-0.14-0.05","Environmentalist,0.02+(x^2)*0.12","Environment,_inv_ElectricCarTransition*(x^2)*0.11+0.03,8","CO2Emissions,_inv_ElectricCarTransition*(x^2)*-0.05-0.01,3",,,,,,,,,,,
#,Banprivateeducation,ban,,,32,14,12,12,PUBLICSERVICES,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"PrivateSchools,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.06*(x^0.5)","_global_socialism,0.06*(x^0.5),12","ClassWarfare,0-(0.10*x),8","Capitalist,-0.05-(0.12*x)","Wealthy,-0.04-(0.11*x)",,,,,,,,,,
#,Banprivatehealthcare,ban,,,32,14,12,12,PUBLICSERVICES,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"PrivateHealthcare,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.07*(x^0.5)","_global_socialism,0.06*(x^0.5),12","Capitalist,-0.11*(x^0.5)","Wealthy,-0.05-(0.13*x)",,,,,,,,,,,
#,BanSecondHomeOwnership,ban,,EmptyHomesTax,28,10,10,10,WELFARE,,1.25,3,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Wealthy,-0.21*(x^0.5)","Capitalist,-0.11*(x^0.5)","Poor,0.08*(x^0.9)","PovertyRate,0-(x*0.06)","Socialist,0.07*(x^0.5)","Homelessness,-0.17*(x^0.5),4","Equality,0.08*(x^2)","_global_socialism,0.05*(x^3)+0.05,8",,,,,,,,,
#,BanSundayShopping,default,,,36,21,18,12,ECONOMY,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.12+(0*x)","Liberal,-0.08+(0*x)","GDP,-0.02+(0*x)","TradeUnionist,0.06+(0*x)","_global_liberalism,-0.06*(x^1.2),16",,,,,,,,,,,,
#,BicycleSubsidies,default,,,2,10,2,2,TRANSPORT,,7.5,55,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Health,0.02+(0.02*x),2","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8","Obesity,-0.01-(0.01*x),2","Environmentalist_income_fixed,3+(50*x)",,,,,,,,,,,
#,BiofuelSubsidies,default,,,10,16,8,9,TRANSPORT,,1.25,175,0+(1.0*x),"CarUsage,0+(1.0*x)",2,0,0,0+(1.0*x),,,#Effects,"OilDemand,0-(0.15*x)*CarUsage,8","Environmentalist,0.01+(0.04*x)","Farmers,0.02+(0.07*x),4","Motorist,0.02+(0.02*x)","Farmers_freq,0.02+(0.05*x),4","Farmers_income,0+(0.08*x)","CO2Emissions,0-(0.06*x),4",,,,,,,,,,
#,BodyCameras,default,,,12,18,8,8,LAWANDORDER,,10,35,0+(1.0*x),"ArmedPolice,0.1+(0.6*x);CommunityPolicing,0.1+(0.6*x);PoliceForce,0.1+(0.6*x)",1,0,0,0+(1.0*x),,,#Effects,"Liberal,0.06+(0.04*x)","Conservatives,-0.05-(0.03*x)","StateEmployees,-0.02-(0.02*x)","TradeUnionist,-0.04-(0.04*x)","RacialTension,-0.14-(0.1*x)","Corruption,-0.03-(0.07*x)",,,,,,,,,,,
#,BorderControls,bordercontrols,UNCANCELLABLE,,25,25,21,15,FOREIGNPOLICY,,2.5,70,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Patriot,0+(0.30*x)","Liberal,0-(0.225*x)","IllegalImmigration,0-(x^1.5)*0.90,2","_Terrorism,0-(0.1*x)","EthnicMinorities,0.00-(0.42*x)",,,,,,,,,,,,
#,BorderWall,default,,,40,30,9,9,FOREIGNPOLICY,_prereq_land_border,125,1250,0+(1.0*x),,16,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.2-(0.12*x)","Patriot,0.22+(0.25*x)","ForeignRelations,-0.09-(0.09*x),2","IllegalImmigration,-0.28-(x^3)*0.42","EthnicMinorities,-0.3-(0.25*x)","_percept_compassion,-0.02-(0.04*x)",,,,,,,,,,,
#,BusinessStartupCampaign,default,,,2,2,1,1,ECONOMY,,5,18.75,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"SelfEmployed,0.1+(0.03*x)","SelfEmployed_freq,0+(0.12*x),16","_global_socialism,0-(0.05*x),16","Capitalist,0+(0.03*x),4",,,,,,,,,,,,,
#,BusLanes,default,,,10,10,8,4,TRANSPORT,,25,55,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Commuter,0.05+(0.17*x)","Motorist,0.00-(0.25*x)","BusUsage,0.05+(0.2*x),2",,,,,,,,,,,,,,
#,BusSubsidies,default,,,10,18,8,8,TRANSPORT,,31.25,388,0+(1.0*x),,6,0,0,0+(1.0*x),,,#Effects,"Commuter,0.10+(0.34*x)","Motorist,0.00-(0.15*x)","BusUsage,0.00+(0.32*x),2","Commuter_income_fixed,75+(300*x)*BusUsage","Commuter_freq,0+(0.12*x),4","Capitalist,-0-(0.06*x)","Unemployment,0-(0.01*x)",,,,,,,,,,
#,CapCEOPayMultiplier,ceopay,,,25,16,10,10,ECONOMY,,0,0,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Capitalist,-0.18*(x+0.25)^3","Socialist,0.15*(x+0.39)^3","_HighIncome,-0.21*(x+0.32)^4","CorporateExodus,+0.29*(x^3),4","Uncompetitive Economy,0.14*(x^2),4","BrainDrain,0.29*(x+0.1)^3,4","Equality,0.15*(x+0.2)^4","Wealthy,-0.32*(x^3)","_global_socialism,0.07*(x^4)+0.05,8",,,,,,,,
#,CapitalControls,default,,,50,10,25,10,ECONOMY,_prereq_sovereign_currency,0,0,0+(1.0*x),,0,0,0,0+(1.0*x),,,#Effects,"Emigration,-0.05-(0.05*x)","BusinessConfidence,-0.1-(0.05*x)","ForeignInvestment,-0.5-(0.4*x),4","BrainDrain,-0.6-(0.2*x),2","CorporateExodus,-0.2-(0.2*x),1","Capitalist,-0.35-(0.1*x)","Socialist,0.15+(0.1*x)","Wealthy,-0.25-(0.12*x)","_global_socialism,0.05+(0.03*x),2",,,,,,,,
#,CapitalGainsTax,capgains,MULTIPLYINCOME,,13,9,8,8,TAX,,0,0,0+(1.0*x),,1,100,2255.5,0+(1.0*x),"GDP,0.5+(0.5*x)",,#Effects,"Socialist,0+(0.1*x)","Capitalist,0-(0.12*x)","Equality,0+(0.09*x)","_HighIncome,0-(0.10*x)","SelfEmployed_freq,0-(0.05*x),4","SelfEmployed,0-(0.1*x)","SelfEmployed_income,0-(0.10*x)","_global_socialism,0.02+(0.04*x),12","Wealthy,0-(0.10*x)","GDP,-0.08*(x^5),1",,,,,,,
#,CarbonCaptureAndStorage,default,,,7,12,6,10,ECONOMY,,250,1200,0+(1.0*x),,8,0,0,0+(1.0*x),,,#Effects,"CO2Emissions,-0.02-(0.09*x)","Environmentalist,0.01+(0.06*x)",,,,,,,,,,,,,,,
#,CarbonTax,tax,,,39,21,14,9,TAX,,0,0,0+(1.0*x),,2,287.5,7877.5,0+(1.0*x),"CO2Emissions,0+(1.0*x)",,#Effects,"CO2Emissions,0-(0.2*x),8","GDP,-0.25*(x^2),4","Environmentalist,0.08+(0.08*x)","EnergyEfficiency,0+(0.25*x),8","_All_,0-(0.25*x)","AirTravel,0-(0.28*x),2","Capitalist,0.02-(0.11*x)","Motorist,-0.07*(1.0-ElectricCarTransition)*x",,,,,,,,,
#,CarEmmissionsLimits,default,,,13,18,7,4,TRANSPORT,,0,20,0+(1.0*x),,5,0,0,0+(1.0*x),,,#Effects,"Motorist,0-(0.08*x)* _inv_ElectricCarTransition","Environmentalist,0.02+(0.05*x)","Environment,0+(0.23*x),16","CarUsage,-0.01-(0.02*x),4","CO2Emissions,-0.01-(0.06*x),16","Motorist_income_fixed,0-(500*x)*_inv_ElectricCarTransition",,,,,,,,,,,
#,CarPoolingCampaign,default,,,2,2,1,1,TRANSPORT,,5,15,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"CarUsage,-0.01-(0.03*x),8",,,,,,,,,,,,,,,,
#,CarTax,default,MULTIPLYINCOME,,38,18,21,8,TAX,,0,0,0+(1.0*x),,1,28.75,1858.975,0+(1.0*x),"CarUsage,0+(1.0*x)",,#Effects,"CarUsage,0.00-(0.14*x),6","Motorist,-0.05-(0.15*x)","Environmentalist,0.01+(0.04*x)","Motorist_freq,-0.1-(0.2*x)","Motorist_income_fixed,0-(550*x)","Farmers,-0.04-(0.04*x)",,,,,,,,,,,
#,CCTVCameras,cctv,,,28,28,10,8,LAWANDORDER,,100,180,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.075-(0.135*x)","CrimeRate,-0.15*(x^0.4),6","ViolentCrimeRate,-0.08*(x^0.8)+0.03,4","Conservatives,0.10+(0.14*x)","_security_,(0.025+0.038*x)","_global_liberalism,-0.14*(x^2)-0.03,8",,,,,,,,,,,
#,CharityTaxRelief,default,,,3,9,3,10,TAX,,50,500,0+(1.0*x),"Charity,0+(1.0*x)",0,0,0,0+(1.0*x),,,#Effects,"Capitalist,0.02+(0.02*x)","Wealthy,0.03+(0.03*x)","_HighIncome,0.02+(0.02*x)","Charity,0.1+(0.1*x),1",,,,,,,,,,,,,
#,ChildBenefit,default,,,18,22,10,12,WELFARE,,200,2160,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Capitalist,-0.05-(0.02*x)","Poor,0.05+(0.04*x)","Equality,0.0.5+(0.15*x)","Parents,0+(0.23*x)","Liberal,0.05+(0.12*x)","Parents_freq,0.025+(0.05*x),2","_LowIncome,0+(0.11*x)","Parents_income_fixed,500+(5000*x)","Population,0+(0.1*x),16","_global_socialism,0.02+(0.04*x)","GenderEquality,0.02+(0.07*x)",,,,,,
#,ChildcareProvision,default,,,16,21,8,12,WELFARE,,200,2500,0+(1.0*x),"GDP,0.4+(0.6*x)",1,0,0,0+(1.0*x),,,#Effects,"Parents,0.05+(0.06*x)","Capitalist,-0.03-(0.02*x)","WorkerProductivity,0.02+(0.08*x),2","Parents_freq,0.025+(0.045*x),2","Parents_income_fixed,100+(1000*x)","Unemployment,-0.01-(0.11*x)","Population,0+(0.1*x),16","_global_socialism,0.03+(0.06*x)","GenderEquality,0.04+(0.09*x)",,,,,,,,
#,CitizenshipTests,default,,,25,25,8,4,FOREIGNPOLICY,,2.5,12.5,0+(1.0*x),"Immigration,0+(1.0*x)",2,0,0,0+(1.0*x),,,#Effects,"Patriot,0.1+(0.16*x)","RacialTension,-0.1-(0.22*x),6","Patriot_freq,0.02+(0.04*x),4","ImmigrationDemand,-0.05-(0.12*x)","Liberal,-0.02-(0.03*x)","EthnicMinorities,-0.02-(0.03*x)",,,,,,,,,,,
#,CityFarms,default,,,3,8,4,4,ECONOMY,,7.5,27.5,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Farmers,0.01+(0.02*x)","Farmers_freq,0+(0.04*x),16","FoodPrice,-0.01-(0.04*x)",,,,,,,,,,,,,,
#,CleanEnergySubsidies,default,,,2,13,1,8,ECONOMY,,147.5,525,0+(1.0*x),"GDP,0.2+(0.8*x)",8,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.04+(0.1*x),2","Capitalist,-0.02-(0.05*x)","Environment,0.06+(0.12*x),8","OilDemand,-0.01-(0.11*x),4","CO2Emissions,-0.01-(0.15*x),12",,,,,,,,,,,,
#,CleanFuelSubsidy,default,,,14,18,7,8,TRANSPORT,,30,137.5,0+(1.0*x),"CarUsage,0+(1.0*x)",1,0,0,0+(1.0*x),,,#Effects,"Environment,0.00+(0.09*x)*CarUsage,8","Environmentalist,0.01+(0.05*x)","Motorist,0.02+(0.02*x)","Motorist_income_fixed,200+(1000*x)",,,,,,,,,,,,,
#,ClimateChangeAdaptionFund,floodawareness,,,15,13,12,9,PUBLICSERVICES,,1125,4000,0+(1.0*x),"GDP,0.75+(0.25*x)",18,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.02+(0.04*x)","Environmentalist_freq,0+(0.04*x),6","Farmers,0.1+(0.06*x)","Farmers_income,0.06+(0.04*x),12","Unemployment,0.0-(0.1*x),18",,,,,,,,,,,,
#,Closeairportscompletely,closeairports,,StateAirline,40,10,18,18,TRANSPORT,,0,0,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"AirTravel,-0.6-(x^2)*0.8","InternationalTrade,-0.1-(x^2)*0.24,6","ForeignRelations,-0.04-(x^2)*0.04,6","Tourism,-0.1-(x^2)*0.25,6","Environmentalist,0.08+(x^2)*0.2","Environment,0.02+(x^2)*0.04","GDP,-0.03-(x^2)*0.06,2","ImmigrationDemand,-0.12-(x^2)*0.26","IllegalImmigration,-0.12-(x^2)*0.26",,,,,,,,
#,CommunityPolicing,default,,,1,6,0,2,LAWANDORDER,,25,159.75,0+(1.0*x),,5,0,0,0+(1.0*x),,,#Effects,"Liberal,0.05+(0.05*x)","CrimeRate,-0.035*(x^0.75)-0.02,6","ViolentCrimeRate,-0.02*(x^0.8)-0.02,8","RacialTension,0-(0.08*x),4","_global_liberalism,0+(0.05*x),8","Unemployment,0-(0.02*x)",,,,,,,,,,,
#,Compulsorychurchattendance,churchattendance,,,36,24,15,15,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.04+(x*0.16)","Liberal,-0.08-(x*0.12)","EthnicMinorities,-0.02-(x*0.18)","Religious_freq,0.04+(x*0.20),24",,,,,,,,,,,,,
#,CompulsoryFoodLabelling,default,,,11,11,6,7,PUBLICSERVICES,,7.5,30,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Obesity,-0.02-(0.03*x),12","Health,0.02+(0.03*x),8","Capitalist,0-(0.02*x)","GDP,0-(0.01*x),8",,,,,,,,,,,,,
#,CompulsoryForeignLanguageClasses,default,,,5,5,1,1,PUBLICSERVICES,,7.5,15,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"InternationalTrade,0.02+(0.08*x),24","ForeignRelations,0.01+(0.02*x),24","RacialTension,0-(0.015*x),12","Education,0+(0.04*x),16","ForeignInvestment,0+(0.1*x),16","Tourism,0+(0.1*x),16","Young,0+(0.1*x)","Patriot,0-(0.12*x)","Capitalist,0+(0.05*x)",,,,,,,,
#,Compulsorylanguagelessons,default,,,24,10,12,12,PUBLICSERVICES,,20,51.25,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"RacialTension,-0.05-(x*0.10),18","Education,0.02+(x*0.03),12","ForeignRelations,0.045+(x*0.10),4","InternationalTrade,0.02+(x*0.08),8","ImmigrationDemand,0.01+(x*0.08),8","Patriot,-0.08*(x^2)",,,,,,,,,,,
#,CompulsorySchoolSports,default,,,4,8,1,1,PUBLICSERVICES,,6.25,25,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Health,0.02+(0.025*x),16","Obesity,0-(0.05*x),16","Young,-0.2-(0.03*x)",,,,,,,,,,,,,,
#,Compulsoryworkfortheunemployed ,workforunemployed,,,25,16,14,14,WELFARE,,6.25,27.5,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Poor,-0.12*(x^Unemployment)","Socialist,-0.12*(x^0.5)","GDP,0.02*(x^0.5),4","MiddleIncome,0.02+(x*0.05),4","Capitalist,0.03+(x*0.06)","Unemployment,0-(0.05*x),7","_global_socialism,-0.03-(x*0.07),8",,,,,,,,,,
#,CongestionCharging,default,,,11,6,9,5,TRANSPORT,,5,8,0+(1.0*x),,2,5,55,0+(1.0*x),,,#Effects,"Motorist,-0.05-(0.05*x)","Motorist_income_fixed,-100-(600*x)","CarUsage,-0.02-(0.02*x),2","TrafficCongestion,-0.06-(0.12*x)",,,,,,,,,,,,,
#,ConsumerRights,consumerrights,,,14,20,12,8,ECONOMY,,1.25,2,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Capitalist,0.00-(0.06*x)","SelfEmployed,0.00-(0.10*x)","Liberal,0.00+(0.15*x)","GDP,-0.04*(x^4)",,,,,,,,,,,,,
#,CorporationTax,corptax,MULTIPLYINCOME,,30,30,22,12,TAX,,0,0,0+(1.0*x),,1,143.75,7659.575,0+(1.0*x),"GDP,0.5+(0.5*x)",,#Effects,"Socialist,0+(0.22*x)","Capitalist,-0.03-(0.23*x)","Wealthy,0-(0.2*x)","SelfEmployed,0-(0.12*x)","GDP,-0.27*(x^5),6","_HighIncome,0-(0.07*x)","_global_socialism,0+(0.02*x)","SelfEmployed_income,0-(0.1*x)",,,,,,,,,
#,Creationism,creationism,UNCANCELLABLE,,40,40,36,25,PUBLICSERVICES,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.3-(0.6*x)","Liberal,-0.35+(0.6*x)","Religious_freq,0.35-(x*0.7),30","_global_liberalism,-0.08+(0.16*x),16",,,,,,,,,,,,,
#,Curfews,curfews,,,45,13,43,7,LAWANDORDER,,20,50,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"CrimeRate,-0.03-(0.13*x)","ViolentCrimeRate,-0.11*(x^0.8)-0.05","_All_,-0.05-(0.2*x)","Liberal,-0.1-(0.25*x)","_Terrorism,-0.1-(0.3*x)","_security_,0.12+(0.11*x)","GDP,-0.08*(x^4)","_global_liberalism,-0.11*(x^3)-0.05,1",,,,,,,,,
#,Cyberbullyingawarenesscampaign,default,,,2,2,1,1,PUBLICSERVICES,,6,20,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Parents,0.02+(0.03*x)","CyberBullying,-0.08-(0.12*x),4","Young,0.05+(0.05*x)","InternetCrime,-0.01-(0.06*x),4",,,,,,,,,,,,,
#,CyclingCampaign,default,,,2,2,1,1,TRANSPORT,,6.25,20,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Health,0.02+(0.02*x),2","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8","Obesity,-0.01-(0.02*x),1",,,,,,,,,,,,
#,DeathPenalty,deathpenalty,,,50,54,35,25,LAWANDORDER,,0,0,0+(1.0*x),,3,0,0,0+(1.0*x),,,#Effects,"Patriot,0.10+(0.02*x)","Liberal,-0.10-(0.05*x)","ViolentCrimeRate,-0.06*(x^0.8)-0.03,4","_global_liberalism,-0.04-(0.04*x),8","Conservatives,0.20+(0.14*x)","Religious,-0.06-(0.06*x)","Population,-0.01-(0.02*x)",,,,,,,,,,
#,DetentionWithoutTrial,detention,,,45,16,35,22,LAWANDORDER,,0.5,0.5,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Patriot,0.1+(0.1*x)","Liberal,-0.15-(0.1*x)","_Terrorism,-0.1-(0.1*x)","_security_,(0.05+0.05*x)","ForeignRelations,0-(0.10*x)","_global_liberalism,-0.11*(x^2)-0.05,8",,,,,,,,,,,
#,DiplomaticService,default,,,8,10,4,4,FOREIGNPOLICY,,10,40,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"ForeignRelations,0+(0.07*x),24",,,,,,,,,,,,,,,,
#,DisabilityBenefit,default,,,9,19,4,8,WELFARE,,172,1720,0+(1.0*x),"_default_,1.0;WorkSafetyLaw,0-(0.08*x)",1,0,0,0+(1.0*x),,,#Effects,"Equality,0.04+(0.05*x),3","Retired,0.02+(0.02*x)","Retired_income_fixed,600+(6500*x)",,,,,,,,,,,,,,
#,Diversityquotasforcompanies,default,,,22,12,9,9,ECONOMY,,1.25,2.5,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"EthnicMinorities,0.1+(x*0.15),4","Equality,0.05+(x*0.05),12","Capitalist,-0.04-(x*0.04)","SelfEmployed,-0.06-(x*0.04)","RacialTension,-0.075-(x*0.11),16","Liberal,0.05+(0.08*x)","_global_liberalism,0.05*(x^2),8",,,,,,,,,,
#,DivertedProfitsTax,default,,,6,9,3,3,TAX,,2.75,3.25,0+(1.0*x),,1,50,1150,0+(1.0*x),"GDP,0.5+(0.5*x);",,#Effects,"MultinationalTaxEvasion,-0.2-(0.4*x),3","Capitalist,-0.1-(0.1*x)","SelfEmployed,0.08+(0.04*x)","Socialist,0.04+(0.06*x)","ForeignRelations,-0.05-(0.05*x)",,,,,,,,,,,,
#,DriverlessCarLaws,driverless,,,28,24,21,14,TRANSPORT,,2.5,50,0+(1.0*x),"GDP,0.25+(0.25*x);CarUsage,0+(0.5*x)",2,0,0,0+(1.0*x),,,#Effects,"Motorist,0.02+(0.05*x)","Commuter,0.1+(0.1*x),2","Technology,0.01+(0.014*x),4","Capitalist,0.01+(0.01*x)",,,,,,,,,,,,,
